ID,area_cd,area_nm,signgu_cd,signgu_nm,full_region_nm,area_nm_normalized,signgu_nm_normalized,full_region_nm_normalized,usage_note
region_41_41281,41,경기도,41281,고양시 덕양구,경기도 고양시 덕양구,경기도,고양시덕양구,경기도고양시덕양구,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_41_41285,41,경기도,41285,고양시 일산동구,경기도 고양시 일산동구,경기도,고양시일산동구,경기도고양시일산동구,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_41_41287,41,경기도,41287,고양시 일산서구,경기도 고양시 일산서구,경기도,고양시일산서구,경기도고양시일산서구,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_41_41290,41,경기도,41290,과천시,경기도 과천시,경기도,과천시,경기도과천시,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_41_41310,41,경기도,41310,구리시,경기도 구리시,경기도,구리시,경기도구리시,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_41_41360,41,경기도,41360,남양주시,경기도 남양주시,경기도,남양주시,경기도남양주시,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_41_41370,41,경기도,41370,오산시,경기도 오산시,경기도,오산시,경기도오산시,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_41_41390,41,경기도,41390,시흥시,경기도 시흥시,경기도,시흥시,경기도시흥시,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_41_41410,41,경기도,41410,군포시,경기도 군포시,경기도,군포시,경기도군포시,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_41_41430,41,경기도,41430,의왕시,경기도 의왕시,경기도,의왕시,경기도의왕시,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_41_41450,41,경기도,41450,하남시,경기도 하남시,경기도,하남시,경기도하남시,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_41_41461,41,경기도,41461,용인시 처인구,경기도 용인시 처인구,경기도,용인시처인구,경기도용인시처인구,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_41_41463,41,경기도,41463,용인시 기흥구,경기도 용인시 기흥구,경기도,용인시기흥구,경기도용인시기흥구,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_41_41465,41,경기도,41465,용인시 수지구,경기도 용인시 수지구,경기도,용인시수지구,경기도용인시수지구,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_41_41480,41,경기도,41480,파주시,경기도 파주시,경기도,파주시,경기도파주시,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_41_41500,41,경기도,41500,이천시,경기도 이천시,경기도,이천시,경기도이천시,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_41_41550,41,경기도,41550,안성시,경기도 안성시,경기도,안성시,경기도안성시,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_41_41570,41,경기도,41570,김포시,경기도 김포시,경기도,김포시,경기도김포시,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_41_41590,41,경기도,41590,화성시,경기도 화성시,경기도,화성시,경기도화성시,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_41_41610,41,경기도,41610,광주시,경기도 광주시,경기도,광주시,경기도광주시,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_41_41630,41,경기도,41630,양주시,경기도 양주시,경기도,양주시,경기도양주시,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_41_41650,41,경기도,41650,포천시,경기도 포천시,경기도,포천시,경기도포천시,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
